skupina,dtstamp,dtstart,dtend,trigger,location,description
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:44+00:00,2025-04-09T17:00:00+00:00,2025-04-09T19:30:00+00:00,-1 days +23:30:00,413,V-RaÄunalniÅ¡tvo in informatika-3.b skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:45+00:00,2025-05-09T08:00:00+00:00,2025-05-09T10:30:00+00:00,-1 days +23:30:00,413,V-Osnove statistike-2. skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:39+00:00,2024-10-10T08:00:00+00:00,2024-10-10T10:30:00+00:00,-1 days +23:30:00,111,P-Osnove naravoslovja in tehnologije-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:40+00:00,2024-11-13T14:15:00+00:00,2024-11-13T16:45:00+00:00,-1 days +23:30:00,306,V-Osnove matematike v organizacijskih vedah-2. skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:43+00:00,2025-03-17T08:00:00+00:00,2025-03-17T10:30:00+00:00,-1 days +23:30:00,401,V-RaÄunalniÅ¡tvo in informatika-1.a skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:41+00:00,2024-12-09T10:45:00+00:00,2024-12-09T13:15:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Organizacija in management-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:41+00:00,2024-12-19T10:45:00+00:00,2024-12-19T13:15:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Organizacija in management-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:41+00:00,2024-12-05T08:00:00+00:00,2024-12-05T10:30:00+00:00,-1 days +23:30:00,306,V-AngleÅ¡ki poslovni jezik-3. skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:42+00:00,2025-03-07T08:00:00+00:00,2025-03-07T10:30:00+00:00,-1 days +23:30:00,111,P-RaÄunalniÅ¡tvo in informatika-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:42+00:00,2025-03-03T10:45:00+00:00,2025-03-03T13:15:00+00:00,-1 days +23:30:00,111,P-Osnove statistike-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:44+00:00,2025-04-07T17:00:00+00:00,2025-04-07T19:30:00+00:00,-1 days +23:30:00,413,V-RaÄunalniÅ¡tvo in informatika-3.b skupina-VS-Redni
